이름,시대,생년월일,진로,국어,영어,수학,사회,과학,총점
이익,조선후기,1681-10-18,문과,100,80,60,95,55,390
박문수,조선후기,1691-10-28,문과,100,95,71,85,65,416
정약용,조선후기,1762-08-05,이과,88,70,94,90,99,441
홍경래,조선후기,1780-05-29,무과,100,82,71,80,67,400
김정호,조선후기,1804-05-05,이과,85,100,90,78,85,438
전봉준,조선후기,1855-01-10,무과,79,90,89,68,72,398
김구,일제강점기,1876-08-29,문과,65,95,62,90,70,382
안중근,일제강점기,1879-09-02,무과,90,100,43,87,64,384
윤심덕,일제강점기,1897-07-25,예체능,99,66,33,75,62,335
유관순,일제강점기,1902-12-16,무과,85,65,72,77,55,354
윤봉길,일제강점기,1908-06-21,무과,89,85,86,92,66,418
이상,일제강점기,1910-04-08,예체능,82,80,71,64,72,369
이중섭,일제강점기,1916-09-16,예체능,70,65,50,68,64,317
정주영,대한민국,1915-11-25,이과,77,58,86,76,84,381
이병철,대한민국,1910-02-12,이과,88,86,94,77,93,438
이미자,대한민국,1941-10-30,예체능,69,67,42,73,52,303
김승옥,대한민국,1941-12-23,문과,96,84,67,92,63,402
